No.|Class|Condition|Contents|Measure|Release|Teach|Auto|Teach|Auto|Teach|Auto
2090|Control failure|Max. follow angle over.|Error occurs when the robot was about to follow more than the max. follow angle.|Check the press syncronize parameters.|Error reset.|E|E|E|E|on|on
2091|Control failure|Record point of press synchronous step is not available.|Error occurs when the position of press interlock waiting step and a synchronous step is different.|Confirm record point of press synchronous step.|Error reset.|E|E|E|E|on|on
2092|CPU board failure|It is not possible to start from a current step.|Error occurs when playback start is done from press synchronous step.|Please do playback start from steps other than press synchronous step.|Error reset.|A|A|A|A|on|on
2093|Control failure|Press brake sync. is not available.|Error occurs if execution of a function related to the press brake is attempted when Press is not selected with Conveyer type.|Set Conveyer shape in Press.|Error reset.|E|E|E|E|on|on
2100|FieldBus failure|Specified channel number or slave node number is not used.|Channel number or the slave node number specified with FN312 or R502 is not used.|Please confirm channel number or the slave node number.|Error reset.|E|E|E|E|on|on
2101|Operation al failure|Stop or External stop signal being given.|Error occurs when a Start command is given while the Stop button is being held or External stop signal is being given.|Release Stop button or External stop signal(if External stop signal cable is cut the external stop signal is considered as being given.|Error reset.|I|I|I|I|on|on
2103|Operation al failure|The emergency stop button or the external emergency stop is inputted.|Where an emergency stop button or an external emergency stop signal is inputted, it detects, when the Motors-ON signal or the External Motors-ON signal is inputted.|Please cancel an emergency stop button and an external emergency stop signal.|Error reset.|I|I|I|I|on|on
2104|Operation al failure|External Motors-OFF is inputted.|In the state where the external Motors-OFF signal is inputted, when the Motors-ON signal or the external Motors-ON signal is inputted, it detects.|Please cancel the external Motors-OFF signal.|Error reset.|I|I|I|I|on|on
2106|Operation al failure|Playback unavailable because servo system has not been turned on yet.|The start is impossible, because the start operation is done before MSHP is turned on.|Please start after turning on MSHP.|Error reset.|I|I|I|I|on|on
2108|Operation al failure|It is not possible to start by specifying the function step|This It is prohibited to start specifying the function because there is the position where the function is executed is not an original position but a possibility.|Please start after specifying the move step.|Error reset.|I|I|I|I|on|on
2109|Operation al failure|It is not possible to start by selecting this function step.|It is not possible to start by selecting this function step.|Please select the move step or the function step that can be executed from, and start.|Error reset.|A|A|I|I|on|on
2110|PLC failure|Toyopuc I/F:The sequence program has stopped.|Toyopuc I/F:The sequence program has stopped.|Please confirm Toyopuc I/F.|Automatically restores, when the problem is solved.|E|E|E|E|on|on
2111|Operation al failure|The internal operation signal was inputted in the state of external selection.|It detects, when starting selection tends to push the Motors-ON button or a starting button in the state of the exterior or it is going to choose a program from TP in the state of the program selection  exterior.|Please operate it after setting starting selection or program selection as an inside.|Error reset.|I|I|I|I|on|on
2112|Operation al failure|The external operation signal was inputted in the state of internal selection.|It detects, when the Motors-ON or the start signals are inputted from the exterior in the state of an inside of start selection or a program selection signal is inputted from the exterior in the state of the inside of program selection.|Please perform external operation after setting up starting selection or program selection outside.|Error reset.|I|I|I|I|on|on
2113|Operation al failure|Settings were changed. To initialize the ststus, please cycle the primary power.|This error is detected when Motors-ON command is inputted in a state where some settings were changeed.|Please cycle the primary power to initialize the state.|Error reset.|E|E|E|E|off|off
2118|Shift failure|Shift register contains no data.|Error occurs when data aren't established in specified shift register.|Setting data in shift register.|Error reset.|A|A|A|A|on|on
2119|Shift failure|The command buffer of serial communication is full. The communication command failed.|Too many command of serial communication requested at the same time.|Please modify robot program.|Error reset.|A|A|A|A|on|on
2138|Operation al failure|Setting the call instruction is improper.|This error occurs when the number of step call and return instruction is match or the multiple call exceeds eight times.|Please correct  the program so that the number of call return instructions is corresponding, and a multiple call should not exceed eight times.|This error is released if the step set do over again and restart|A|A|A|A|on|on
2141|Operation al failure|The unit composition is a different program.|This error occurs when the program jump or call instruction directly jumps or calls the program that the unit is different.|Please correct the called program number value.|This failure is released if a correct program is setted and restart playback.|A|A|A|A|on|on
2142|Operation al failure|Program number selected is not available.|This error occurs when the program number designated is more than 9999.|Check the desired program number and retry.|No reset operations neccesary.|I|I|I|I|on|on
2144|Operation al failure|There is no end.|If there is no end mark when playback executing, this error is detected after the last step is executed.|Please record the end instruction.|This error is released if restart playback.|I|I|I|I|on|on
2150|Operation al failure|Program is too large.|Error occurs when number of bytes of a program is too large.|Edit program in order to reduce its size.|No reset operations neccesary.|I|I|I|I|on|on
2151|Operation al failure|The program or the file does not exist.|This error occurs when the program number is specified which does not exist in the program jump call instruction.|Please correct the program number to a correct value the jump call ahead.|This failure is released if a correct program is setted and restart playback.|I|I|I|I|on|on
2152|Operation al failure|The step does not exist.|This error is detected when the step number which does not exist in the step jump call instruction is specified.|Please correct the step number to a correct value at the jump destination.|This error is released if the correct step set do over again and restart playback.|I|I|I|I|on|on
2155|Operation al failure|The usage of the flow control instruction is improper..|This error is detected when the usage of the flow control instruction is wrong.|Please correct the program so that the usage of the flow control instruction may become proper.|his error is released if it reactivates after the program is corrected so that the usage of the flow control instruction may become proper.|A|A|A|A|on|on
2161|Operation al failure|Change of a coordinate system cannot be performed during circular.|This error occurs if a coordinate system is changed during circular.|Please teach by the same coordinate system during circular.|This error will be canceled if a program is corrected and restarted.|I|I|I|I|on|on
2164|Operation al failure|Change of a tool cannot be performed during circular.|This error occurs if a tool is changed during circular.|Please teach by the same tool during circular.|This error will be canceled if a program is corrected and restarted.|I|I|I|I|on|on
2165|Operation al failure|The file is protected.|All protected files or files partially protected (program or constant) tried to be corrected and deleted.|Because the specified file (program or constant) contains important data, protecting is put so that the content is not carelessly changed.|Please release protecting the file (program or constant).|I|I|I|I|on|on
2166|Operation al failure|The reproduction protection of the program is carried out.|It detects, when it is going to carry out reproduction or check GO of the work program which required reproduction protection from a head step (Step 0).|The specified work program is not a program which should be used for operation operation.|When you start, please choose Step 1 from T/P.|A|A|A|A|on|on
2167|Operation al failure|The amount of the movement of each axis is too small in the automatic tool constant setting. Or, the number of record steps does not suffice.|When there is no point or less 10 point data effective to the calculation, and the program is not clearly recorded the same point excluding the error by the teaching.|Recreate the 10 point program (4 point under tool constant setting only) ensuring the recorded points are exactly the same point in space.|Error reset.|I|I|I|I|on|on
2169|Operation al failure|A step number is unsuitable..|It is displayed, when the specified step does not exist, or when the step of a reference program is the function step.|Please specify a move function.|Error reset.|A|A|A|A|off|off
2170|Operation al failure|Tool postures differ.|It is displayed when the tool posture in two specified points is not the same.|Please make a tool posture the same.|Error reset.|A|A|A|A|off|off
2171|Operation al failure|Tool number do not match.|The tool number recorded on the specified step differs from the selected tool number.|Please make a tool number the same.|Error reset.|A|A|A|A|off|off
2173|Shift failure|Shift value limit exceeded.|This error occurs if the allowable shift distance is too large.|Reset the limit value[Constants][Shift limit & evaluation value] and retry program.|No reset operations neccesary.|A|A|A|A|on|on
2174|Control failure|This function cannot be available during conveyor synchronization.|The function which cannot be used during conveyor synchronization was used.|Please record this function on the step which is not conveyor synchronization.|Error reset.|A|A|A|A|on|on
2175|Operation al failure|The file path is not found.|The system cannot find the path specified.|Please check whether a file path is right.|No reset operations neccesary.|I|I|I|I|on|on
2176|Operation al failure|The file access is denied.|The process cannot access the file because it is being used by another process.|Please try once again. If it still recurs, please re-switch on the controller.|No reset operations neccesary.|I|I|I|I|on|on
2181|Control failure|Conveyer running signal was not received.|Conveyer running signal was not received in conveyer normal mode.|In conveyer normal mode, turn on conveyer running signal. If the signal is not used, set [When turning off conveyor running signal. = Ignore] in [Constant: 20 Conveyor constant: 4 Conveyor added function] menu.|No reset operations neccesary.|A|A|A|A|on|on
2185|Operation al failure|Step number selected is not available.|This error occurs when designated step number does not exist.|Check the desired step number and retry.|No reset operations neccesary.|I|I|I|I|on|on
2194|Operation al failure|The program is not recorded nor selected.|This error occurs when the program which is not recorded is|Please start after recording the program or selecting other programs.|This error is released if it|I|I|I|I|on|on |||selclted and start playback.||sets a correct program and restart playback.||||||2201|Shift failure|Palletize-end does not follow Palletize function.|This error occurs when a palletize-end function(M47) does not follow Palletize function(M48).|Correct the sequence of Palletize and Palletize end functions in the program.|No reset operations neccesary.|A|A|A|A|on|on
2202|Shift failure|More than 32 Palletizing routines not allowed.|When palletizing of 32 or more is executed at the same time, this error is detected.|Terminate the unnecessary palletize.(by using R55 or R377)|No reset operations neccesary.|A|A|A|A|on|on
2203|Shift failure|Palletize data is abnormal.|This error occurred calculate shift value is failed from palletize data.|Please refer to palletize data.|No reset operations neccesary.|A|A|A|A|on|on
2204|Shift failure|Multiplex palletize over.|This error occurs when multiplex palletize beyond 8 is carried out.|Please confirm a robot program.|No reset operations neccesary.|A|A|A|A|on|on
2230|Control failure|Conveyer sync. is not available.|Failure occurs if execution of a function related to the Conveyer is attempted when Conveyer synchronization has not been enabled.|Enable Conveyer synchronization|Error reset.|A|A|A|A|on|on
2240|Operation al failure|PUBLIC.INC file is wrong.|This failure occurs when the mistake is found in the method of defining the variable.|Please confirm the definition of variables.|Error reset.|A|A|A|A|on|on
2241|Operation al failure|COSNT.INC file is wrong.|This failure occurs when the mistake is found in the method ofdefining the name.|Please confirm the definition of names.|Error reset.|A|A|A|A|on|on
2242|Operation al failure|Module file is wrong.|This failure occurs when the mistake is found in the method of recording the function.|Please confirm the method of the function.|Error reset.|A|A|A|A|on|on
2243|Operation al failure|The variable Data file is wrong.|This failure occurs when it failed in the preservation of the variable data file.|Please set the initial data of variables, after to select program.|Error reset.|A|A|A|A|on|on
2244|Operation al failure|The variable data is an irregular value.|The variable of irregular data cannot be used.|Please set the initial data of variable.|Error reset.|A|A|A|A|on|on
2245|Operation al failure|The variable cannot be rewritten.|The variable data of an other unit cannot be rewritten.|Please review the variable.|Error reset.|A|A|A|A|on|on
2246|Operation al failure|The variable doesn't exist.|The variable that doesn't exist cannot be used.|Please review the variable.|Error reset.|A|A|A|A|on|on
2247|Operation al failure|The variable has already existed.|The existing variable cannot be redefined.|Please review the variable.|Error reset.|A|A|A|A|on|on
2248|Operation al failure|The mistake is found in the method of recording the function.|The function command that cannot be used is recorded. whether to find the mistake in the method of recording the function.|Please confirm the method of the function.|Error reset.|A|A|A|A|on|on
2250|Operation al failure|The step data is abnormal.|This error occurs when the value which is not permitted as a parameter of the function instruction is setted while playback executing, and the robot stops.|Please set a correct parameter again.|This error is released if a correct program or step is setted and restart playback.|A|A|A|A|on|on
2251|Operation al failure|Incorrect Register or variable number.|Error occurs when incorrect Register or variable number is used in a program.|Enter the correct register or variable number.|Error reset.|A|A|A|A|on|on
2252|Operation al failure|Failed in reading or writing variable.|This error occurs when the variable is continuously read or written.|Please confirm the number of variables which are read or written.|Error reset.|A|A|A|A|on|on
2253|Operation al failure|The parameter for the function command exceeds the normal range.|This error occurs when an illegal parameter is found in the function command while playback operation, and the robot stops.|Please correct the parameter.|Althogh re-start operation is possible, please correct the teaching program.|A|A|A|A|on|on
2254|Operation al failure|The Dynalog function command exceeds the normal range.|This error occurs when an illegal function command is found while playback operation, and the robot stops.|Please set a correct function command again.|This error is released if a correct program or step is setted and restart playback.|A|A|A|A|on|on
2255|Operation al failure|Division by 0.|This error occurs when a value is divided by 0 in robot language file.|Check the program.|Check the program.|A|A|A|A|on|on
2256|Operation al failure|Playback unavailable because compilation process is executing.|Error occurs when input playback command while it is executing the compilation process.|Please start after the compilation processing ends.|No reset operations  neccesary.|A|A|A|A|on|on
2258|Operation al failure|Outside wrist posture limit range|The wrist operated by posture beyond the limits of the posture limit setting.|Please operate the robot so that the wrist posture may operate within the range of the limit.|Error reset.|A|A|A|A|on|on
2259|Operation al failure|It is the tool which does not appoint limit angle|Step of the tool where 0 is set to limit angle the when regulation effective of wrist posture limit was played back.|When step of the tool which does not use wrist posture limit is played back, please set wrist posture limit to invalidity.|Error reset.|A|A|A|A|on|on
2268|Operation al failure|The program can not reserve any more.|This error occurs when the number of program reservations exceeds ten.|The number of program reservation should cope with it by the sequence etc. not to accumulate too much.|Error reset.|A|A|A|A|on|on
2272|Control failure|Conveyer running signal is ON.|Error occurs when a Conveyer running signal is inputed when conveyer simulation or test mode.|Turn off the conveyer running input signal OFF.|Error reset.|E|E|E|E|on|on
2277|Spot weld failure|Analog input override and digital input override can not be used at same time.|Error occurs when analog input override (FN169) and digital input override (FN277) are played at the same time.|Check the program, and delete function.|Error reset.|A|A|A|A|on|on
2300|Spot weld failure|No signal input while executing FN227|The specified interruption signal was not input whiel executingFN227.|Please confirm the state of the sensor, the connection with the controller and the number of the signal.|Error reset.|A|A|A|A|on|on
2301|Operation al failure|There is no referring to point for the circle middle point (C1).|This error occurs when the program on which the move command is not recorded before or after the circle middle point (C1) is|Please start after recording a move command before or after the circle middle point (C1).|This error will be canceled if a program is corrected and|A|A|A|A|on|on
2302|Operation al failure|There is no referring to point for the circle end point (C2).|This error occurs when the program on which the move command is not recorded before the circle middle end (C2) is started.|Please start after recording a move command before the circle end point (C2).|This error will be canceled if a program is corrected and restarted.|A|A|A|A|on|on
2303|Operation al failure|Step is too big.|Error occurs when number of bytes of a step is too big.|Modify or delete the step.|Error reset.|A|A|A|A|on|on
2356|Shift failure|Playback mode of Search write function is not corrected.|This error occurs when Search write function is attempted when not in <1 cycle> mode.|Select <1 cycle> mode.|No reset operations neccesary.|A|A|A|A|on|on
2357|Shift failure|Search range exceeded.|This error occurs when the robot moves beyond search range|Modify(enlarge) the search range or program to rectify error.|No reset operations neccesary.|A|A|A|A|on|on
2358|Shift failure|Search base step position is not defined.|This error occurs if a Search is attempted without the existence of the Search base step position.|The Search base step position(s) will be automatically written into the functions.|No reset operations neccesary.|A|A|A|A|on|on
2359|Shift failure|Search Start not followed by Search End.|This error occurs when a Search start does not follow a Search End function.|Alter program to give correct Search start/end sequence.|No reset operations neccesary.|A|A|A|A|on|on
2360|Operation al failure|The setting of a case jump function is unsuitable.|This failure occurs when a case jump and a case jump end do not correspond while playback executing, and the robot will stop.|Please check a case jump and correspondence of a case jump end.|This failure is released if a correct program is setted and restart playback.|I|I|I|I|on|on
2361|Operation al failure|It was going to jump beyond the case jump range.|This failure occurs when the condition value of a case jump is too large and there is no jump step in the program while playback executing, this abnormality is detected, and the robot will stop.|Please set a correct parameter again.|This failure is released if a correct program is setted and restart playback.|I|I|I|I|on|on
2367|PLC failure|Scan of Built-in PLC has stopped.|Although Built-in PLC status is except <Disabled>, when scan of Built-in PLC has stopped, it becomes this error at the time of robot operation.|Built-in PLC status is set as <RUN> by constant mode, and scan is started.|Unusual reset is carried out after changing Built-in PLC into a starting state.|A|A|A|A|on|on
2368|PLC failure|Connection with Built-in PLC cannot be performed.|It becomes this error when connection with Built-in PLC cannot be performed.|Please check the environment of Built-in PLC of operation.|Unusual reset is carried out after changing Built-in PLC into a starting state.|A|A|A|A|on|on
2369|PLC failure|Built-in PLC cannot be started.|It becomes this error when Built-in PLC cannot be started.|Please check the environment of Built-in PLC of operation.|Unusual reset is carried out after changing Built-in PLC into a starting state.|A|A|A|A|on|on
2370|PLC failure|Built-in PLC cannot be stopped.|It becomes this error when Built-in PLC cannot be stopped.|Please check the environment of Built-in PLC of operation.|Unusual reset is carried out after changing Built-in PLC into a starting state.|A|A|A|A|on|on
2371|PLC failure|There is no resource performed by Built-in PLC.|It will become this error if a starting demand is performed in the state where there is no resource performed by Built-in PLC.|Download a PLC ladder program.|After download, it changes into a starting state and unusual reset is carried out.|A|A|A|A|on|on
2372|PLC failure|PLC-Engine has not been started.|It becomes this error when it is not able to start by the starting demand of PLC-Engine.|Please check the environment of Built-in PLC of operation.|Again, a starting setup is carried out, it changes into a starting state, and unusual reset is carried out.|A|A|A|A|on|on
2373|PLC failure|The error was detected by Program check at the time of PLC-Engine starting.|It becomes this error when an error is detected by Program check at the time of PLC-Engine starting.|Please carry out program check by [3 PLC program check] of [14 PLC program Edit] of Service.|Error reset.|A|A|A|A|on|on
2383|Operation al failure|The function data is abnormal.|This error occurs when the function instruction which is not permitted is setted while playback executing, and the robot stops.|Please set the function again.|This error is released if a correct program or step is setted and restart playback.|A|A|A|A|on|on
2387|Shift failure|3 of the step points for On-transfer are in line.|Error occurs when 3 step points are situated along the same line for the On-line Transfer(M53,M54).|Designate step positions not in the same line for the On-line transfer function.|Designate step positions not in the same line for the On-line transfer function.|A|A|A|A|on|on
2390|Operation al failure|There is no user function definition data.|Error occurs when there is no data which defined the specified user function.|Create a user function definition file.|A power supply is re-switched on after creating a user function definition file.|A|A|A|A|on|on
2391|Operation al failure|There is no user function definition data.|Error occurs when there is no data which defined the specified user function.|Create a user function definition file.|A power supply is re-switched on after creating a user function|A|A|A|A|on|on
2400|Emergency stop failure|Emergency stop signal input line failure.|This Error occurs when disagreement has happened between dual emergency stop signal input lines. (1) Cable failure(contact failure, broken wire) (2)Emergency stop switch troubles.|First, release all emergency stop switches, and perform operation again. If the error recurs, check whether the emergency stop SW line is correctly wired.|First, release all emergency stop switches, and perform operation again. If impossible, remove the cause of the error, and turn on the power again.|E|E|E|E|on|on
2401|Emergency stop failure|Safety signal input line failure(Safety plug)|This Error occurs when disagreement has happened between dual safety signal input lines. (1) Cable failure(contact failure, broken wire) (2)Safety plug troubles.|First, release sefety plugs, and perform operation again. If the error recurs, check whether the safety plug line is correctly wired.|First, release safety plugs, and perform operation again. If impossible, remove the cause of the error, and turn on the power again.|E|E|E|E|on|on
2402|Emergency stop failure|Safety signal input line failure(Enable(Deadma n)/Mat SW)|This error occurs when disagreement has happened between dual safety signal input lines. (1) Cable failure(contact failure, broken wire) (2)Enable(Deadman)/Mat SW troubles.|First, release enable(deadman) switches, and perform the operation again. If the error recurs, check whether the enable(deadman) switch line is correctly wired.|First, release enable(deadma n) switches, and perform the operation again. If it is impossible, remove the cause of the error, and turn ON the power again.|E|E|E|E|on|on
2410|Operation al failure|User failure is not defined.|The error file was not found.|Please define Failure by [Service]‹[25 Robot Diagnosis]‹[6 User Error].|Error reset.|E|E|E|E|on|on
2411|Request maintenance|It became a check time limit.|check|Please do the check completion processing after it checks.|The check completion processing is done.|I|I|E|E|on|on
2412|Request maintenance|Information by number of failure log|The number of remainder failure log reached a set value.|The failure log file is backing up preserved if necessary. Afterwards, "Failure log clear" is executed by the failure logging monitor. Or, information on the number of failure log is set to "Not Occur" by the error logger item.|Error reset.|I|I|E|E|on|on
2413|Request maintenance|Information by number of another preservation failure log|The number of remainder another preservation failure log reached a set value.|The failure log file is backing up preserved if necessary. Afterwards, "Failure log clear" is executed by the failure logging monitor. Or, information on the number of another preservation failure log is set to "Not Occur" by the error logger item.|Error reset.|I|I|E|E|on|on
2435|Spot weld failure|The specified welder cannot be used with this unit.|The servo gun connected with the specified welder is not defined as a mechanism of this unit.|Modify the program.|Error reset.|A|A|A|A|on|on
2436|Spot weld failure|The servo gun is not connected with the specified welder.|The welder with which the servo gun was not connected when the servo gun function was used was specified.|Modify the program.|Error reset.|A|A|A|A|on|on
2437|Spot weld failure|Abnormal panel thickness detected.|Dramatic difference of panel thickness exists between recorded value in weld condition and detected value.|Check the weld condition data and real work piece thickness.|This error is released if restart playback.|A|A|A|A|on|on
2497|FieldBus failure|RIO detected the communications error.|An abnormal communication was generated by the RIO link.|Please check the connection and the RIO scanner of the communication cable.|Error reset.|A|A|A|A|on|on
2498|FieldBus failure|The RIO interface is abnormal.|There is no answer from the RIO interface.|Please exchange the RIO interface.|Error reset.|A|A|A|A|on|on
2518|Operation al failure|Step number not designated.|This error occurs when a command only valid after designating a step number is attempted without step designation.|Please designate a step number and retry.|This error is released if a correct program or step is setted and restart playback.|A|A|A|A|on|on
2527|Operation al failure|File read or write fault.|This failure occurs when the media format does not match the format selected in the controller or the file has been corrupted.",|Please try once again, after delete the file.|No reset operations neccesary.|I|I|I|I|on|on
2528|Operation al failure|The memory medium is not discriminable.|When memory media, such as a FIROPPI disk and an memory card, are not initialized, this error occurs.|By Service / File Manager / Format memory card/Floppy disk, please use it after initializing a memory medium.|It will be canceled if some keys are pushed.|I|I|I|I|on|on
2530|Operation al failure|Bad program file.|Error occurs when data header of program file is crashed.|Delete the program file.|Error reset.|A|A|A|A|on|on
2535|Spot weld failure|File operation of FTP client is canceled.|FTP client menu is closed, when upload or download executed.|The file under writing might been damaged. Please confirm the file that is uploaded or downloaded. Please delete and execute download or upload again when the file has been damaged.|No reset operations neccesary.|A|A|A|A|on|on
2536|Spot weld failure|Welder fault.|Error occurs when a Welder fault input signal is received by the controller after the completion of a welding sequence.|Check the welder unit.|This error is released if restart playback.|A|A|A|A|on|on
2537|Spot weld failure|Welding time exceeded limit.|Error occurs if a Weld competed signal is not input before the designated time period.|Check the welder is operating normally.|This error is released if restart playback.|A|A|A|A|on|on
2538|Spot weld failure|The gun not open.|Error occurs if the Gun closed signal is received after the welding sequence ends.|Check the GUN or welding unit.|This error is released if restart playback.|A|A|A|A|on|on
2539|Spot weld failure|The gun is not half open.|Error occurs if the Gun half-open signal is not received after Open gun half signal is output by the controller.|Check the GUN or welding unit.|This error is released if restart playback.|A|A|A|A|on|on
2540|Spot weld failure|The gun is not fully open.|Error occurs if the Gun full-open signal is not received after Open gun fully signal is output by the controller.|Check the GUN or welding unit.|This error is released if restart playback.|A|A|A|A|on|on
2541|Spot weld failure|Stuck Weld GUN detected.|Error occurs if the System fault signal is detected after completion of a welding sequence.|Error occurs if the Weld stuck signal is received when the welding sequence ends.|This error is released if restart playback.|A|A|A|A|on|on
2542|Spot weld failure|Coolant fault #1.|Error occurs if the Water flow switch #1 signal is detected after completion of a welding sequence.|Check the GUN or welding unit.|This error is released if restart playback.|A|A|A|A|on|on
2543|Spot weld failure|Coolant fault #2.|Error occurs if the Water flow switch #2 signal is detected after completion of a welding sequence.|Check the GUN or welding unit.|This error is released if restart playback.|A|A|A|A|on|on
2544|Spot weld failure|Air pressure fault.|Error occurs if the Air pressure switch signal is detected after completion of a welding sequence.|Check the GUN or welding unit.|This error is released if restart playback.|A|A|A|A|on|on
2545|Spot weld failure|Transformer temperature fault.|Error occurs if the Thermo. temp. fault signal is detected after completion of a welding sequence.|Check the GUN or welding unit.|This error is released if restart playback.|A|A|A|A|on|on
2546|Spot weld failure|Peripheral system fault.|Error occurs if the System fault signal is detected after completion of a welding sequence.|Check the GUN or welding unit.|This error is released if restart playback.|A|A|A|A|on|on
2552|Spot weld failure|Both of half-open and full-open signals are given.|Error occurs if both the Gun half-open signal and Gun full-open signal are received simultaneously after Open gun half signal is output by the controller.|Check the GUN or welding unit to determine the cause of the two simultaneous signals.|This error is released if restart playback.|A|A|A|A|on|on
2555|Spot weld failure|Servo-gun is not executed to obey the welder sequence.|Error occurs when the servo gun is not achieved to command pressure.|Please confirm to the sequence of weld-timer.|This error is released if restart playback.|A|A|A|A|on|on
2570|Vision sensor failure|Vision sensor communication data error.|Internal error in the vision sensor system was detected.|Please check hardware of vision sensor.|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
2571|Vision sensor failure|Vision sensor command/reply buffer overflow.|Too many commands to vision sensor or replies from vision sensor at the same time.|Please modify timing of function execution.|After removal of failure, please carry out "failure-reset".|A|A|A|A|on|on
2572|Vision sensor failure|Vision sensor recognition error.|Vision sensor could not recognize the measure object.|Please check the measure object is within measure area. If the object is within measure area, please modify measure condition parameters or adjust lighting environment.|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
2573|Vision sensor failure|Vision sensor shift error.|The measure object isn't within shift area or vision sensor could not recognize the measure object.|Please check the measure object is within shift area. If the object is within shift area, please modify measure condition parameters or adjust lighting environment.|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
2574|Vision sensor failure|Error about frame grabber.|Frame grabber is out of order.|Please replace the frame grabber board.|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
2575|Vision sensor failure|Image acquire error.|Acquiring image timeout detected. Or Camera cable is cut / camera is out of order.|Please check camera setting. If this is right, replace the camera cable / camera.|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
2576|Vision sensor failure|Vision sensor socket error.|Fail to create the socket which connect to vision sensor unit.|Please check setting of connection to vision sensor unit.|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
2577|Vision sensor failure|Vision sensor type error.|Vision sensor function recorded by another vision sensor type is done.|Please remove the vision sensor function and record again.|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
2578|Vision sensor failure|Measure of Vision sensor is not complete.|Vision measure wait function was done without measuring, or Vision shift function was done before measure completed.|Please measure again, or record Vision measure wait function before Vision shift function.|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
2579|Vision sensor failure|The measurement time is over.|The measurement processing time too much or the trigger signal line has been disconnected.|Please modify the method of measuring the vision sensor, and check the trigger signal line.|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
2582|Vision|Vision sensor|Error was detected in the data|Please confirm whether there is loosening of|After removal of|A|A|A|A|on|on
2583|Vision sensor failure|Vision sensor returns no answer.|It takes time to process the vision sensor too much.|Please modify setting of the vision sensor.|After removal of failure, please turn on power supply of the controller again.|A|A|A|A|on|on
2584|Vision sensor failure|Vision sensor error.|Error was detected in the vision sensor.|Please refer to the manual of the vision sensor.| After removal of failure, please turn on power supply of thecontroller again.|A|A|A|A|on|on
2585|Vision sensor failure|Vision sensor function can not be carried out.|The function execution by the check go/back is not permitted in the vision mode.|Please cancel the vision mode, and do the check go/back.|Error reset.|A|A|A|A|on|on
2586|Vision sensor failure|A synchronous gap was occered by a vision correction conveyer synchronous function.|The vision sensor was not able to complete processing while the conveyer moved at trigger intervals.|Please slow down the conveyer speed.|Error reset.|A|A|A|A|on|on
2587|Spot weld failure|Playback unavailable because visual teaching correction is valid.|The visual teaching correction function is set as enable.|Please set the visual teaching correction function to disable.|Error reset.|A|A|A|A|on|on
2588|Vision sensor failure|The measurement point exceeded the distance limit.|The distance between the measurement points is abnormal or the shape of the measurement point is abnormal.|Please measure these points again.|Error reset.|I|I|I|I|on|on
2589|Vision sensor failure|A multiple measurement happened.|The measurement had been executed again before the measurement was completed.|Please modify the measurement execution timing.|Error reset.|A|A|A|A|on|on
2590|Vision sensor failure|Shift range over.|The measurement result is out of shift range.|Please check the position of the work.|Error reset.|I|I|I|I|on|on
2591|Vision sensor failure|Vision sensor error.|Error was detected in the vision sensor.|Please refer to the manual of the vision sensor.|After removal of failure, please carry out "failure-reset".|I|I|I|I|on|on
2592|Operation al failure|Multiple shift failure.|A shift, an online transformation, and the base coordinate shift with the vision sensor were executed in the multiple.|Modify program to rectify error.|Error reset.|A|A|A|A|on|on
2593|Vision sensor failure|The measurement time is over.|The measurement processing time too much or the trigger signal line has been disconnected.|Please modify the method of measuring the vision sensor, and check the trigger signal line.|Error reset.|I|I|I|I|off|off
2594|Spot weld failure|Seam welding function can not be carried out.|Carrying out this function is not permitted during seam welding. Or errors are in constant data.|Please modify program or constant data.|Error reset.|A|A|A|A|on|on
2595|Spot weld failure|It was going to execute the function which is not permitted during seam welding.|The function about another units, such as CALLFAR, is not permitted during seam welding.|Please modify program.|Error reset.|A|A|A|A|on|on
2596|Vision sensor failure|No base position data set.|There is no base position before doing the shift function.|Please register base position.|Error reset.|I|I|I|I|on|on
2597|Vision sensor failure|Measure point datas is abnormal.|This failure occurs when the measurement point data is insufficient or the measurement position contradicts the data of a base position when the shift amount is calculated.|(1)Please measure these points again. (2)Please confirm base positional data.|Error reset.|I|I|I|I|on|on
2598|Vision sensor failure|The measurement type is abnormal.|When the measurement type was a setting of 2D, it tried to execute 'VLOCCVT' function.|(1)Please confirm the measurement type. (2)Please use the 'SHIFTR' function at 2D measurement.|Error reset.|A|A|A|A|on|on
2599|Shift failure|Shift register contains no data.|Error occurs when data aren't established in specified shift register.|Setting data in shift register.|Error reset.|I|I|I|I|on|on
2601|Operation al failure|Servo gun auto-setting gets abnormal data.|It is not possible to compute the servo gun inertia using current gathered by parametor auto-setting|(1)Please make the servo gun position more wildly between pose 1 and pose 2. (2)Please confirm the servo parameters of target servo gun mechanism.|No reset operations neccesary.|A|A|A|A|on|on
